Tweet ID,Tweet ID, Tweet Text, Information Source, Information Type, Informativeness
22,211671247258521602,#Media Large wildfire in N. Colorado prompts evacuations: Crews are battling a fast-moving wildf... http://t.co/ju1BGTKH #Politics #News,Media,Affected individuals,Related and informative
26,211703656611979265,India Large wildfire in N. Colorado prompts evacuations http://t.co/uprHT63g,Media,Affected individuals,Related and informative
28,211790625530593282,"New #HighParkFire Evacs: 474 evac notices S &amp; W of Bellvue includes Lory State Park, Redstone Canyon &amp; Buckhorn Rd to Stove Prairie School",Government,Affected individuals,Related and informative
53,212023103197421569,Colorado fire displaces hundreds; 1 person missing: Firefighters in Colorado and New Mexico are battling wind-fu... http://t.co/R6OQwpix,Media,Affected individuals,Related and informative
54,212024361513795584,"Hundreds evacuated as Colorado, New Mexico fires spread http://t.co/wr9JREt3",Media,Affected individuals,Related and informative
61,212099863171710976,CNN: Homes at risk from Colorado wildfire: Hundreds of families took refuge early Monday at a northern Col... http://t.co/1whTp6PL #news,Media,Affected individuals,Related and informative
68,212193589088890880,"RT @ExaminerWeather: #HighParkFire explodes to 36,930 acres, 400 personnel on site, more evacuations ordered. Story &amp; photos: http:/ ...",Media,Affected individuals,Related and informative
74,212214560617275392,RT @KDVR: Follow the latest #HighParkFire updates with our live blog &amp; chat room http://t.co/fBRlcE2o #breakingnews #fortcollins,Media,Affected individuals,Related and informative
82,212234550649163777,"RT @Ash_ann88: My friend took this at Horsetooth Reservoir, one of my favorite places in CO.. #devastating #Colorado http://t.co/OTwN0lEm",Eyewitness,Affected individuals,Related and informative
93,212319443383103488,@scottbalster @gnip @mapbiquity @imnickarmstrong any ideas on a domain name? Re #HighParkFire house matching w displaced people.,Not applicable,Affected individuals,Related and informative
94,212337210442264576,RT @KyleClark: Sources tell @9news a 62 yr old woman has died in the #HighParkFire,Media,Affected individuals,Related and informative
95,212364712506163201,62 year old linda stedman killed in #highparkfire,Eyewitness,Affected individuals,Related and informative
