categories,indicatorTerms,postID,priority,timestamp
"['SearchAndRescue', 'FirstPartyObservation']",[],232824699380441088,Medium,2018-09-10 16:14:46
"['ThirdPartyObservation', 'Advice']",[],233029884740517888,Low,2018-09-10 16:52:29
"['ThirdPartyObservation', 'MultimediaShare']",[],232813378928791552,Low,2018-09-10 16:06:03
"['Donations', 'FirstPartyObservation', 'Advice']",[],233449407398412288,Low,2018-09-10 18:09:36
"['GoodsServices', 'FirstPartyObservation', 'Advice']",[],232830965662244864,High,2018-09-10 16:18:46
"['Donations', 'FirstPartyObservation']",[],233326807913476096,Low,2018-09-10 17:38:56
"['Donations', 'FirstPartyObservation', 'Sentiment']",[],233429060825526272,Low,2018-09-10 18:08:32
"['ThirdPartyObservation', 'ContinuingNews']",[],232822379921952768,Low,2018-09-10 16:13:04
"['FirstPartyObservation', 'Official', 'Advice']",[],232885659398975488,Low,2018-09-10 16:35:57
"['FirstPartyObservation', 'Sentiment']",[],233147400749981696,Low,2018-09-10 17:22:30
"['ThirdPartyObservation', 'Advice']",[],232805925658980352,Medium,2018-09-10 16:01:13
"['Donations', 'FirstPartyObservation']",[],232802863838003200,Low,2018-09-10 15:59:44
"['SearchAndRescue', 'FirstPartyObservation', 'EmergingThreats']",[],232816340119998464,High,2018-09-10 16:08:28
"['ThirdPartyObservation', 'Sentiment']",[],233020544000356352,Low,2018-09-10 16:51:21
"['FirstPartyObservation', 'Advice']",[],232784652178427904,Low,2018-09-10 15:49:41
"['FirstPartyObservation', 'ContinuingNews']",[],233157597077852160,Low,2018-09-10 17:25:45
"['GoodsServices', 'Donations', 'FirstPartyObservation']",[],233036369126100992,High,2018-09-10 16:53:35
"['SearchAndRescue', 'FirstPartyObservation']",[],232871587509055488,High,2018-09-10 16:33:08
"['FirstPartyObservation', 'ContinuingNews']",[],233240442991419392,Low,2018-09-10 17:34:15
"['SearchAndRescue', 'FirstPartyObservation', 'Advice']",[],232746374922375168,Medium,2018-09-10 15:40:08
"['ThirdPartyObservation', 'Advice']",[],232762292310269952,Medium,2018-09-10 15:44:10
"['SearchAndRescue', 'FirstPartyObservation']",[],232901333517221888,High,2018-09-10 16:40:11
"['Donations', 'FirstPartyObservation', 'Advice']",[],233893089251565568,Low,2018-09-10 18:26:09
"['SearchAndRescue', 'FirstPartyObservation']",[],233134935249133568,High,2018-09-10 17:21:43
"['SearchAndRescue', 'FirstPartyObservation']",[],232863114994020352,High,2018-09-10 16:31:37
"['ThirdPartyObservation', 'Advice']",[],233129386189139968,Low,2018-09-10 17:20:44
"['ThirdPartyObservation', 'Sentiment']",[],232791925093175296,Low,2018-09-10 15:51:34
"['Donations', 'FirstPartyObservation']",[],233570362728775680,Low,2018-09-10 18:16:56
"['SearchAndRescue', 'FirstPartyObservation']",[],232706738770563072,High,2018-09-10 15:26:01
"['Donations', 'FirstPartyObservation']",[],232842114109698048,Low,2018-09-10 16:23:22
"['Donations', 'Advice']",[],232758387409055744,Low,2018-09-10 15:42:43
"['SearchAndRescue', 'FirstPartyObservation']",[],232857196826853376,High,2018-09-10 16:30:18
"['Donations', 'FirstPartyObservation', 'Advice']",[],233847954371379200,Low,2018-09-10 18:25:54
"['FirstPartyObservation', 'Sentiment']",[],233427404079628288,Low,2018-09-10 18:07:03
"['SearchAndRescue', 'FirstPartyObservation']",[],232815253786869760,High,2018-09-10 16:06:50
"['ThirdPartyObservation', 'ContinuingNews']",[],232708580057415680,Low,2018-09-10 15:26:33
"['ThirdPartyObservation', 'Sentiment']",[],232785788818034688,Low,2018-09-10 15:50:02
"['GoodsServices', 'SearchAndRescue', 'ThirdPartyObservation']",[],232886884139933696,High,2018-09-10 16:37:08
"['FirstPartyObservation', 'Advice']",[],233021286413111296,Low,2018-09-10 16:52:06
"['SearchAndRescue', 'FirstPartyObservation']",[],233127674925703168,High,2018-09-10 17:20:23
"['Donations', 'FirstPartyObservation', 'Sentiment']",[],233451022197088256,Low,2018-09-10 18:09:59
"['SearchAndRescue', 'FirstPartyObservation']",[],232903422272229376,High,2018-09-10 16:41:22
"['ThirdPartyObservation', 'Advice']",[],232735268413771776,Low,2018-09-10 15:34:26
"['GoodsServices', 'SearchAndRescue', 'FirstPartyObservation']",[],232826255475621888,High,2018-09-10 16:15:40
"['SearchAndRescue', 'FirstPartyObservation']",[],233027812750155776,High,2018-09-10 16:52:19
"['Donations', 'ThirdPartyObservation', 'Advice']",[],232831213109407744,Low,2018-09-10 16:18:59
"['Donations', 'FirstPartyObservation', 'Advice']",[],232801509077823488,Low,2018-09-10 15:59:08
"['FirstPartyObservation', 'Sentiment']",[],233080744849858560,Low,2018-09-10 16:59:27
['FirstPartyObservation'],[],232827551515561984,Medium,2018-09-10 16:16:16
"['ThirdPartyObservation', 'EmergingThreats', 'ContinuingNews']",[],232501180109058048,Medium,2018-09-10 15:17:57
"['SearchAndRescue', 'FirstPartyObservation']",[],233150760366505984,High,2018-09-10 17:23:31
"['ThirdPartyObservation', 'ContinuingNews']",[],235578067018452992,Low,2018-09-10 18:39:16
"['GoodsServices', 'SearchAndRescue', 'FirstPartyObservation']",[],233356503552233472,High,2018-09-10 17:39:57
"['ThirdPartyObservation', 'ContinuingNews', 'Discussion']",[],232705409159426048,Low,2018-09-10 15:23:03
"['ThirdPartyObservation', 'ContinuingNews']",[],233108087530192896,Low,2018-09-10 17:05:43
"['Donations', 'FirstPartyObservation', 'Advice']",[],234125751518130176,Low,2018-09-10 18:31:36
"['Donations', 'FirstPartyObservation']",[],232849919721996288,Medium,2018-09-10 16:27:25
"['Donations', 'ThirdPartyObservation', 'Sentiment']",[],232763366064680960,Low,2018-09-10 15:44:40
"['FirstPartyObservation', 'Sentiment']",[],233037983907983360,Low,2018-09-10 16:54:00
"['SearchAndRescue', 'FirstPartyObservation']",[],232775613436534784,High,2018-09-10 15:48:02
"['FirstPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],233177805263876096,Low,2018-09-10 17:28:03
"['SearchAndRescue', 'ThirdPartyObservation']",[],232819427123544064,Medium,2018-09-10 16:10:22
"['ThirdPartyObservation', 'ContinuingNews']",[],232755824693501952,Low,2018-09-10 15:41:44
"['ThirdPartyObservation', 'Sentiment']",[],232963962835181568,Low,2018-09-10 16:46:29
"['Donations', 'FirstPartyObservation']",[],233102941102415872,Low,2018-09-10 17:04:36
"['Volunteer', 'Donations', 'FirstPartyObservation']",[],232886863172624384,Low,2018-09-10 16:36:15
"['ThirdPartyObservation', 'Advice']",[],232793535714295808,Low,2018-09-10 15:55:31
"['ThirdPartyObservation', 'Sentiment']",[],232829770306551808,Low,2018-09-10 16:17:19
"['GoodsServices', 'SearchAndRescue', 'ThirdPartyObservation']",[],232820832215392256,Medium,2018-09-10 16:12:42
"['FirstPartyObservation', 'Sentiment']",[],233094825140961280,Low,2018-09-10 17:02:33
"['FirstPartyObservation', 'MultimediaShare', 'Advice']",[],233059400028418048,Medium,2018-09-10 16:57:22
"['GoodsServices', 'Donations']",[],233106682421587968,High,2018-09-10 17:04:59
"['ThirdPartyObservation', 'Sentiment']",[],232850498556948480,Low,2018-09-10 16:28:11
"['Donations', 'FirstPartyObservation']",[],233362698551832576,Low,2018-09-10 17:40:45
"['ThirdPartyObservation', 'ContinuingNews']",[],232921508111077376,Medium,2018-09-10 16:44:14
"['FirstPartyObservation', 'Sentiment']",[],232923064189468672,Low,2018-09-10 16:44:38
"['ThirdPartyObservation', 'Sentiment']",[],232892202483867648,Low,2018-09-10 16:39:25
"['FirstPartyObservation', 'Sentiment']",[],233091578749657088,Low,2018-09-10 17:01:14
"['SearchAndRescue', 'FirstPartyObservation']",[],232888096289595392,High,2018-09-10 16:37:55
"['Donations', 'FirstPartyObservation']",[],233402498323460096,Low,2018-09-10 18:04:09
"['ThirdPartyObservation', 'ContinuingNews']",[],232699017044312064,Low,2018-09-10 15:21:48
"['ThirdPartyObservation', 'MultimediaShare', 'Sentiment']",[],233198638334095360,Low,2018-09-10 17:31:33
"['FirstPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],232746320409006080,Low,2018-09-10 15:39:29
"['Volunteer', 'FirstPartyObservation', 'Advice', 'Sentiment']",[],233568521420947456,Low,2018-09-10 18:16:31
"['FirstPartyObservation', 'Advice']",[],234124224766296064,Low,2018-09-10 18:31:21
"['ThirdPartyObservation', 'Sentiment']",[],232631115448479744,Low,2018-09-10 15:21:32
"['Donations', 'FirstPartyObservation']",[],233385637212979200,Low,2018-09-10 17:44:35
"['ThirdPartyObservation', 'ContinuingNews']",[],232803178385657856,Low,2018-09-10 16:00:19
"['ThirdPartyObservation', 'MultimediaShare', 'ContinuingNews']",[],233749446930874368,Low,2018-09-10 18:25:01
"['SearchAndRescue', 'FirstPartyObservation']",[],233115977024405504,High,2018-09-10 17:17:59
"['Donations', 'Advice']",[],233107168956657664,Low,2018-09-10 17:05:24
"['SearchAndRescue', 'ThirdPartyObservation']",[],232847830962814976,High,2018-09-10 16:26:58
"['SearchAndRescue', 'ThirdPartyObservation']",[],233169542451449856,High,2018-09-10 17:26:48
"['FirstPartyObservation', 'Sentiment']",[],232719346844176384,Low,2018-09-10 15:29:54
"['FirstPartyObservation', 'Advice']",[],233312639525195776,High,2018-09-10 17:37:55
"['Donations', 'FirstPartyObservation', 'Advice']",[],233451835887845376,Low,2018-09-10 18:10:12
"['SearchAndRescue', 'FirstPartyObservation']",[],232829657030987776,High,2018-09-10 16:17:08
"['SearchAndRescue', 'MovePeople', 'FirstPartyObservation']",[],232791988016148480,High,2018-09-10 15:52:02
"['GoodsServices', 'Volunteer', 'ThirdPartyObservation', 'Advice']",[],233100231607214080,High,2018-09-10 17:04:22
"['FirstPartyObservation', 'Advice']",[],233389747609927680,Low,2018-09-10 17:44:49
"['ThirdPartyObservation', 'Sentiment']",[],232825177505943552,Low,2018-09-10 16:15:17
"['Donations', 'FirstPartyObservation', 'MultimediaShare', 'Advice']",[],233470605394059264,Low,2018-09-10 18:11:15
"['ThirdPartyObservation', 'Advice']",[],232700514419216384,Low,2018-09-10 15:22:10
"['ThirdPartyObservation', 'Sentiment']",[],232890398966693888,Low,2018-09-10 16:38:59
"['Donations', 'Advice']",[],233174764372516864,Low,2018-09-10 17:27:02
"['SearchAndRescue', 'FirstPartyObservation']",[],232890889696063488,High,2018-09-10 16:39:11
