postID,categories,indicatorTerms,priority,timestamp
541257221443571712,"['FirstPartyObservation', 'MultimediaShare', 'ServiceAvailable']",[],High,2018-09-06 15:44:37
541296469710733312,"['ThirdPartyObservation', 'ContinuingNews']",[],Low,2018-09-07 16:23:56
541390335272710144,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",[],Low,2018-09-10 16:47:55
541396560450301952,"['ThirdPartyObservation', 'Weather', 'MultimediaShare', 'ContinuingNews']",[],Low,2018-09-10 17:40:51
541403086196334592,['Irrelevant'],[],Low,2018-09-10 18:17:09
541377205012406272,['Sentiment'],[],Low,2018-09-10 15:21:02
541201007930507264,"['ThirdPartyObservation', 'Factoid']",[],Medium,2018-09-06 14:30:50
541390731361792000,"['ThirdPartyObservation', 'Advice']",[],Low,2018-09-10 16:50:58
541463260516470784,"['ThirdPartyObservation', 'Weather', 'MultimediaShare']",[],Medium,2018-09-12 17:02:00
541415852373864448,"['ThirdPartyObservation', 'Weather', 'ContinuingNews']",[],Medium,2018-09-11 13:32:56
541391344623550464,"['FirstPartyObservation', 'Sentiment']",[],Low,2018-09-10 16:54:12
541146050879176704,['Discussion'],[],Low,2018-09-06 11:51:25
541370432708829184,"['ThirdPartyObservation', 'Weather', 'Factoid', 'ContinuingNews']",[],Low,2018-09-10 14:51:43
541458822968389632,"['ThirdPartyObservation', 'Weather', 'MultimediaShare', 'ContinuingNews']",[],High,2018-09-12 16:04:49
541376059489669120,"['ThirdPartyObservation', 'Weather', 'ContinuingNews']",[],Low,2018-09-10 15:15:26
541436329360244736,"['Sentiment', 'Discussion']",[],Low,2018-09-11 16:38:47
541284814704222208,"['MultimediaShare', 'Official', 'Advice']",[],Low,2018-09-07 15:29:00
541403738020143104,"['ThirdPartyObservation', 'SignificantEventChange', 'ContinuingNews']",[],High,2018-09-10 18:24:48
541296300403093504,"['ThirdPartyObservation', 'Weather']",[],Low,2018-09-07 16:21:56
541142262160187392,['Sentiment'],[],Low,2018-09-05 18:28:11
541431507802271744,"['ThirdPartyObservation', 'MultimediaShare', 'CleanUp', 'ContinuingNews']",[],Medium,2018-09-11 15:59:36
541282517303959552,['Sentiment'],[],Low,2018-09-07 15:20:45
541442751489785856,"['FirstPartyObservation', 'Weather']",[],Low,2018-09-11 17:28:18
541269072718336000,['Irrelevant'],[],Low,2018-09-07 14:32:40
541465916383313920,['Discussion'],[],Low,2018-09-12 17:41:15
541257816598532096,"['FirstPartyObservation', 'ServiceAvailable']",[],High,2018-09-06 15:49:46
541146092016922624,"['InformationWanted', 'Weather']",[],Low,2018-09-06 11:52:31
541296623104430080,['Advice'],[],Low,2018-09-07 16:25:50
541407375609978880,['Donations'],[],Low,2018-09-10 18:45:03
541209623211298816,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",[],Medium,2018-09-06 14:36:38
541394222465552384,"['ThirdPartyObservation', 'SignificantEventChange']",[],High,2018-09-10 17:19:23
541243103248515072,"['ThirdPartyObservation', 'Weather', 'MultimediaShare', 'ContinuingNews']",[],Medium,2018-09-06 15:21:32
541399568605122560,['Irrelevant'],[],Low,2018-09-10 17:51:13
541379950079508480,['Irrelevant'],[],Low,2018-09-10 15:32:19
541463609826496512,"['ThirdPartyObservation', 'Factoid', 'Sentiment', 'Discussion']",[],High,2018-09-12 17:02:45
541401280963289088,"['FirstPartyObservation', 'MultimediaShare']",[],Low,2018-09-10 17:57:50
541429109214019584,['Irrelevant'],[],Low,2018-09-11 15:35:02
541365613659058176,"['ThirdPartyObservation', 'Weather', 'MultimediaShare', 'ContinuingNews']",[],Low,2018-09-10 14:32:56
541296654427512832,"['MultimediaShare', 'Factoid', 'Advice']",[],Low,2018-09-07 16:28:10
541414468086157312,['Sentiment'],[],Low,2018-09-11 13:19:33
541456824726085632,"['ThirdPartyObservation', 'MultimediaShare']",[],Low,2018-09-12 15:26:28
541293802976464896,"['Weather', 'Discussion']",[],Low,2018-09-07 16:07:47
541439409367703552,['Sentiment'],[],Low,2018-09-11 17:03:42
