postID,categories,indicatorTerms,priority,timestamp,full_text
541257221443571712,"['FirstPartyObservation', 'MultimediaShare', 'ServiceAvailable']",[],High,2018-09-06 15:44:37,Alert and ready: briefing of @PlanPhilippines Emergency Response Team for Tacloban-Leyte area. #RubyPH http://t.co/tTkjYnmvqX
541296469710733312,"['ThirdPartyObservation', 'ContinuingNews']",[],Low,2018-09-07 16:23:56,Our staff live from #Tacloban at 7pm on @BBCNews as city braces for a battering from #TyphoonHagupit - one year after devastating #Haiyan
541390335272710144,"['ThirdPartyObservation', 'MultimediaShare', 'Factoid', 'ContinuingNews']",[],Low,2018-09-10 16:47:55,
541396560450301952,"['ThirdPartyObservation', 'Weather', 'MultimediaShare', 'ContinuingNews']",[],Low,2018-09-10 17:40:51,
541403086196334592,['Irrelevant'],[],Low,2018-09-10 18:17:09,"#RubyPh
#byebye

Chillin with PABLO, YOLANDA, BASYANG 
and with our new Friend RUBY (y) :D &gt;.&lt; (y) :3 
padung na... http://t.co/guabqgQPfu"
541377205012406272,['Sentiment'],[],Low,2018-09-10 15:21:02,
541201007930507264,"['ThirdPartyObservation', 'Factoid']",[],Medium,2018-09-06 14:30:50,"Thousands flee as Hagupit nears Philippines - About 500,000 evacuate coastal areas, already devastated by typhoo... http://t.co/pAQr0TYFDa"
541390731361792000,"['ThirdPartyObservation', 'Advice']",[],Low,2018-09-10 16:50:58,"As Typhoon Ruby makes landfall, please take note of these things. #RubyPH http://t.co/gPEPYCCWkp"
541463260516470784,"['ThirdPartyObservation', 'Weather', 'MultimediaShare']",[],Medium,2018-09-12 17:02:00,
541415852373864448,"['ThirdPartyObservation', 'Weather', 'ContinuingNews']",[],Medium,2018-09-11 13:32:56,Typhoon tears down homes in disaster-weary Philippines - The Rakyat Post http://t.co/osi2ic7Pub
541391344623550464,"['FirstPartyObservation', 'Sentiment']",[],Low,2018-09-10 16:54:12,This gloomy weather is making me blue... #RubyPH #Hagupit
541146050879176704,['Discussion'],[],Low,2018-09-06 11:51:25,
