Event_Name,tweet_id,Text,TimeStamp,User Info,Description
typhoonPablo2012,274432077594759169,[NEWS] Typhoon Bopha is forecast to strike the Philippines at about 15:00 GMT on 4 ... - Reuters AlertNet (blog) | R... http://t.co/UjUK7RGL,Fri Nov 30 08:38:00 +0000 2012,PH Weather Portal,Philippine Weather Portal | 24/7 weather updates from different sources. | Individual Account | Not related or an affiliate of  any weather agency or office.
typhoonPablo2012,274530656321675264,Wag nmn sana tumuloy ung bagyong c #pablo wag sirain ang pasko pls lng ha.,Fri Nov 30 15:09:43 +0000 2012,Glaiza Marie Pasion,Name: GlaizaMariePasion Age: 16 (2004) Height: 5'20 Citizenship:Filipino Motto: rolla and I love Tati! WeChat: glaizapasion15
typhoonPablo2012,274660784620052480,#Weather Update: Visayas will be greatly affected by Typhoon Bopha(TY Pablo). It might make landfall over Bohol on Tuesday |via @seph_ubalde,Fri Nov 30 23:46:48 +0000 2012,News5 AKSYON,"The Official Twitter account of Aksyon, flagship news program of TV5 Network, Inc. FB: @News5Everywhere / email: News5Aksyon@news5.com.ph"
typhoonPablo2012,274681584194560000,The Watchers - Tropical Storm Bopha upgraded to typhoon http://t.co/VB8TNzyC via @TheWatchers_,Sat Dec 01 01:09:27 +0000 2012,bdwatcher,"Let him who desires peace, prepare for war. obstinate, irritating, annoying, but both eyes open.  Patriot is not a 4 letter word!
#ORPUW #BENGHAZI"
typhoonPablo2012,274728321307271168,Expected track of Typhoon Bopha in the next 24-72 hrs. Will be a Category 4 storm in 48hrs and in the PAR in 72hrs. http://t.co/qRrnhnHb,Sat Dec 01 04:15:11 +0000 2012,Carlos Javier,"I was born modest. Not all over, but in spots."
typhoonPablo2012,274843333308850177,"RT @dost_pagasa: Typhoon ""BOPHA"" Satellite image as of 01/DEC/12 06:30PM http://t.co/TEjX5fxY",Sat Dec 01 11:52:11 +0000 2012,JΞ,i'm the young star that has been abandoned by the galaxy
typhoonPablo2012,274863314985680896,"RT @dost_pagasa: Typhoon ""BOPHA"" Satellite image as of 01/DEC/12 07:30PM http://t.co/SITTaEUO",Sat Dec 01 13:11:35 +0000 2012,Vince Yamson,Tapat sa Bayan
typhoonPablo2012,275035356942983168,Sunny Sunday. ♥ we're hoping typhoon Pablo won't hit our shores.,Sun Dec 02 00:35:13 +0000 2012,Jellie Casino,
typhoonPablo2012,275043753922789377,"RT @tjmanotoc: Typhoon Pablo to hit PHILIPPINES on Tuesday, forecast to be stronger than Sendong! Be safe &amp; prepared! http://t.co/iY ...",Sun Dec 02 01:08:35 +0000 2012,Angelie Ann Llameg,My heart loves like a roller coaster ride.. I cry.. I laugh.. I fall in love.. I am both steel and cotton candy and everything in between.. I'm an ASTRVM.. ★★★
typhoonPablo2012,275045104501260288,#ityphoonapp forecast track of super typhoon Bopha. It's boy scout time.  http://t.co/3gWpfC9R http://t.co/CA8AGMWT http://t.co/MY2mtirk,Sun Dec 02 01:13:57 +0000 2012,Carlo Leonardia,Come to think of it on @visayanstar. Random and uncensored feed. Advocate of efficiency and the acceptance of baldness.
typhoonPablo2012,275065346233335808,"RT @govph: For the latest updates on #pabloPH, please visit http://t.co/5H8gdz6P",Sun Dec 02 02:34:23 +0000 2012,Jojo Pasion Malig,Deputy Editor at @ABSCBNNews | Bylines at @Poynter | Rider | Dad | Views are my own. Retweets are subtweets.
